id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
436,A,sh,600604,市北高新,sbgx,9.28,-0.34,-3.534,0,0,0,0,0,0,0,1.86,5.81,2.03,1.58,2.74,0.12,0.13,0,1873304804.0,1992-04-30,2020-08-29 19:11,2020-08-29 19:11
1242,A,sh,603669,灵康药业,lkyy,8.66,-0.09,-1.029,0,0,0,0,0,0,0,1.86,9.09,2.73,0.75,4.8,2.0,2.31,0,713440000.0,2015-05-29,2020-08-29 19:11,2020-08-29 19:11
1755,A,sz,000576,广东甘化,gdgh,10.54,0.04,0.381,0,0,0,0,0,0,0,1.86,11.1,2.5,0.67,4.03,0.0,0.0,0,442861324.0,1994-09-30,2020-08-29 19:11,2020-08-29 19:11
3267,A,sz,300363,博腾股份,btgf,34.2,1.17,3.542,0,0,0,0,0,0,0,1.86,8.36,1.32,1.69,5.88,1.04,0.3,0,542747533.0,2014-01-30,2020-08-29 19:11,2020-08-29 19:11
3298,A,sz,300395,菲利华,flh,45.57,1.08,2.428,0,0,0,0,0,0,0,1.86,14.92,1.2,1.04,8.0,1.8,0.39,0,338158344.0,2014-09-30,2020-08-29 19:11,2020-08-29 19:11
3353,A,sz,300450,先导智能,xdzn,45.13,0.26,0.579,0,0,0,0,0,0,0,1.86,16.67,1.51,0.74,9.47,1.63,0.36,0,881452464.0,2015-05-29,2020-08-29 19:11,2020-08-29 19:11
701,A,sh,600976,健民集团,jmjt,30.94,1.29,4.351,0,0,0,0,0,0,0,1.85,8.02,1.97,1.17,3.87,2.0,0.65,0,153398600.0,2004-04-30,2020-08-29 19:11,2020-08-29 19:11
1373,A,sh,603918,金桥信息,jqxx,11.95,0.09,0.759,0,0,0,0,0,0,0,1.84,9.54,1.99,0.97,4.38,0.85,0.71,0,233167090.0,2015-05-29,2020-08-29 19:11,2020-08-29 19:11
2215,A,sz,002218,拓日新能,trxn,3.99,0.03,0.758,0,0,0,0,0,0,0,1.84,4.38,2.59,1.62,1.62,0.25,0.63,0,1236342104.0,2008-02-29,2020-08-29 19:11,2020-08-29 19:11
67,A,sh,600095,哈高科,hgk,16.84,1.01,6.38,0,0,0,0,0,0,0,1.83,3.8,0.52,9.28,4.58,0.09,0.05,0,2681990294.0,1997-07-31,2020-08-29 19:11,2020-08-29 19:11
192,A,sh,600266,城建发展,cjfz,5.63,0.13,2.364,0,0,0,0,0,0,0,1.83,4.52,8.62,0.47,0.59,2.4,4.26,0,2256537600.0,1999-02-09,2020-08-29 19:11,2020-08-29 19:11
2710,A,sz,002776,柏堡龙,bbl,8.69,-0.15,-1.697,0,0,0,0,0,0,0,1.83,5.09,3.9,0.92,1.84,0.38,0.44,0,537989106.0,2015-06-30,2020-08-29 19:11,2020-08-29 19:11
3331,A,sz,300428,四通新材,stxc,17.97,-0.31,-1.696,0,0,0,0,0,0,0,1.83,9.56,3.3,0.58,2.67,0.87,0.48,0,578369253.0,2015-03-31,2020-08-29 19:11,2020-08-29 19:11
240,A,sh,600330,天通股份,ttgf,11.25,0.05,0.446,0,0,0,0,0,0,0,1.82,6.67,2.4,1.14,2.52,0.5,0.44,0,996565730.0,2001-01-19,2020-08-29 19:11,2020-08-29 19:11
341,A,sh,600488,天药股份,tygf,5.01,0.05,1.008,0,0,0,0,0,0,0,1.82,6.48,3.27,0.86,1.87,0.4,0.8,0,1100906680.0,2001-06-29,2020-08-29 19:11,2020-08-29 19:11
2944,A,sz,300034,钢研高纳,gygn,24.87,0.77,3.195,0,0,0,0,0,0,0,1.82,10.06,1.66,1.09,5.55,1.2,0.48,0,470057816.0,2009-12-29,2020-08-29 19:11,2020-08-29 19:11
30,A,sh,600038,中直股份,zzgf,56.45,0.67,1.201,0,0,0,0,0,0,0,1.81,8.27,1.94,1.13,4.0,3.0,0.53,0,589476716.0,2000-12-29,2020-08-29 19:11,2020-08-29 19:11
2517,A,sz,002558,巨人网络,jrwl,21.22,-0.48,-2.212,0,0,0,0,0,0,0,1.81,9.78,2.01,0.92,5.38,1.3,0.61,0,2024379932.0,2011-03-31,2020-08-29 19:11,2020-08-29 19:11
1745,A,sz,000560,我爱我家,wawj,4.39,-0.05,-1.126,0,0,0,0,0,0,0,1.8,5.26,4.9,0.7,1.03,0.7,1.59,0,2355500851.0,1994-02-28,2020-08-29 19:11,2020-08-29 19:11
2236,A,sz,002241,歌尔股份,gegf,42.87,0.62,1.467,0,0,0,0,0,0,0,1.8,9.96,1.1,1.64,8.6,1.0,0.23,0,3245103948.0,2008-05-30,2020-08-29 19:11,2020-08-29 19:11
760,A,sh,601126,四方股份,sfgf,6.77,0.31,4.799,0,0,0,0,0,0,0,1.78,5.15,3.57,0.97,1.45,1.78,2.63,0,813172000.0,2010-12-31,2020-08-29 19:11,2020-08-29 19:11
2148,A,sz,002144,宏达高科,hdgk,10.91,0.01,0.092,0,0,0,0,0,0,0,1.78,4.56,3.99,0.98,1.11,1.0,0.92,0,176762527.0,2007-08-31,2020-08-29 19:11,2020-08-29 19:11
